data endpoint,description
/api/trial_data,get all trial trial data
/api/entity_data,get all entity data
/api/entity_data?entity_type=ugv,get entity data fitlered by entity type
/api/entity_group_data,get all entitiy group data
/api/entity_group_data?name=Test,get entity group data filtered by entity group name
/api/events/?format=csv,get all event data in csv
/api/events/?format=csv&event_type=Node+Online,get event data filtered by event type
/api/events/?format=csv&trial=2&event_type=Node+Online,get event data filtered by trial and event type
/api/events/?format=csv&trial=3&event_type=Node+Online&event_type=Node+Warning,get event data filtered by trial and multiple event types
